axia,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102
x,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1416e+6,8.1416e+6,8.1416e+6,8.1416e+6,8.1416e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1417e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1418e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6,8.1419e+6
y,583488.171123,583485.173567,583482.991162,583482.712784,583484.060779,583487.322445,583490.941493,583495.421172,583500.931987,583504.946344,583508.342502,583511.928394,583515.46311,583519.019306,583522.541559,583526.182637,583529.443428,583531.63515,583535.199853,583538.429151,583541.750396,583544.706826,583548.35643,583552.142234,583556.014679,583559.694643,583563.418275,583567.135885,583570.832212,583574.619512,583578.063399,583582.790221,583587.842126,583593.089878,583598.221258,583602.742985,583608.042197,583612.542725,583619.563136,583626.127773,583632.024962,583639.965797,583647.162946,583653.12628,583658.877284,583664.800382,583669.543986,583674.265172,583678.459228,583682.204523,583686.138083,583689.203423,583691.413731,583693.299403,583695.050556,583696.691437,583698.297609,583699.419987,583700.230568,583700.727599,583701.049802,583700.234798,583699.467054,583698.407309,583697.091173,583695.474155,583693.404364,583691.236083,583688.887825,583685.72583,583681.924521,583678.169899,583673.82656,583669.026022,583664.632173,583658.866243,583653.416374,583647.339506,583641.343056,583635.29594,583628.647543,583622.123686,583615.560112,583609.279284,583603.073062,583596.00142,583588.997954,583581.726076,583574.159415,583566.643392,583559.016403,583551.359214,583543.658761,583536.00411,583528.423988,583520.910074,583513.452271,583506.25626,583499.529036,583492.010483,583488.171123,583485.173567,583482.991162
