1.193562,0.962386,0.800061,0.70917,0.683248,0.720677,0.845551,1.13098,1.352304,1.203605,1.171368,1.198629,0.979829,0.766804,0.67503,0.665122,0.728752,0.885906,1.201841,1.470796
1.193274,0.961878,0.799641,0.708868,0.683026,0.72054,0.845562,1.131181,1.352937,1.204036,1.171215,1.198241,0.980269,0.767296,0.675297,0.665155,0.728515,0.885383,1.201437,1.471314
1.192987,0.96137,0.799222,0.708566,0.682805,0.720402,0.845572,1.131382,1.353569,1.204467,1.171062,1.197853,0.98071,0.767787,0.675564,0.665188,0.728278,0.88486,1.201032,1.471833
1.1927,0.960862,0.798803,0.708263,0.682583,0.720265,0.845583,1.131582,1.354201,1.204898,1.170909,1.197466,0.981151,0.768278,0.675831,0.665221,0.728041,0.884337,1.200628,1.472351
1.192413,0.960354,0.798384,0.707961,0.682362,0.720127,0.845594,1.131783,1.354833,1.205329,1.170756,1.197078,0.981592,0.768769,0.676098,0.665255,0.727805,0.883814,1.200223,1.472869
1.192125,0.959846,0.797964,0.707659,0.682141,0.719989,0.845605,1.131984,1.355465,1.20576,1.170603,1.19669,0.982033,0.769261,0.676365,0.665288,0.727568,0.883291,1.199818,1.473387
1.191838,0.959338,0.797545,0.707356,0.681919,0.719852,0.845615,1.132185,1.356097,1.206191,1.17045,1.196303,0.982473,0.769752,0.676631,0.665321,0.727331,0.882767,1.199414,1.473905
1.191551,0.95883,0.797126,0.707054,0.681698,0.719714,0.845626,1.132386,1.356729,1.206622,1.170297,1.195915,0.982914,0.770243,0.676898,0.665354,0.727095,0.882244,1.199009,1.474424
1.191263,0.958322,0.796706,0.706752,0.681476,0.719577,0.845637,1.132586,1.357361,1.207053,1.170144,1.195527,0.983355,0.770735,0.677165,0.665388,0.726858,0.881721,1.198605,1.474942
1.190976,0.957814,0.796287,0.706449,0.681255,0.719439,0.845648,1.132787,1.357993,1.207484,1.169991,1.19514,0.983796,0.771226,0.677432,0.665421,0.726621,0.881198,1.1982,1.47546
1.190689,0.957306,0.795868,0.706147,0.681033,0.719302,0.845659,1.132988,1.358625,1.207915,1.169838,1.194752,0.984236,0.771717,0.677699,0.665454,0.726385,0.880675,1.197795,1.475978
1.190401,0.956798,0.795449,0.705845,0.680812,0.719164,0.845669,1.133189,1.359258,1.208346,1.169685,1.194364,0.984677,0.772208,0.677966,0.665487,0.726148,0.880152,1.197391,1.476496
1.190114,0.95629,0.795029,0.705542,0.680591,0.719027,0.84568,1.133389,1.35989,1.208777,1.169532,1.193977,0.985118,0.7727,0.678233,0.665521,0.725911,0.879629,1.196986,1.477015
1.189827,0.955782,0.79461,0.70524,0.680369,0.718889,0.845691,1.13359,1.360522,1.209208,1.169379,1.193589,0.985559,0.773191,0.6785,0.665554,0.725675,0.879106,1.196582,1.477533
1.189539,0.955273,0.794191,0.704938,0.680148,0.718752,0.845702,1.133791,1.361154,1.209639,1.169226,1.193201,0.986,0.773682,0.678767,0.665587,0.725438,0.878583,1.196177,1.478051
1.189252,0.954765,0.793772,0.704635,0.679926,0.718614,0.845713,1.133992,1.361786,1.21007,1.169073,1.192814,0.98644,0.774173,0.679034,0.66562,0.725201,0.87806,1.195772,1.478569
1.188965,0.954257,0.793352,0.704333,0.679705,0.718477,0.845723,1.134192,1.362418,1.210501,1.16892,1.192426,0.986881,0.774665,0.6793,0.665653,0.724964,0.877537,1.195368,1.479087
1.188677,0.953749,0.792933,0.704031,0.679484,0.718339,0.845734,1.134393,1.36305,1.210932,1.168767,1.192038,0.987322,0.775156,0.679567,0.665687,0.724728,0.877014,1.194963,1.479605
